Date,Open,High,Low,Close*,Adj. close**,Volume
30-Dec-03,"1,109.48","1,109.75","1,106.41","1,109.64","1,109.64","1,012,600,000"
29-Dec-03,"1,095.89","1,109.48","1,095.89","1,109.48","1,109.48","1,058,800,000"
26-Dec-03,"1,094.04","1,098.47","1,094.04","1,095.89","1,095.89","356,070,000"
24-Dec-03,"1,096.02","1,096.40","1,092.73","1,094.04","1,094.04","518,060,000"
23-Dec-03,"1,092.94","1,096.95","1,091.73","1,096.02","1,096.02","1,145,300,000"
22-Dec-03,"1,088.66","1,092.94","1,086.14","1,092.94","1,092.94","1,251,700,000"
19-Dec-03,"1,089.18","1,091.06","1,084.19","1,088.66","1,088.66","1,657,300,000"
18-Dec-03,"1,076.48","1,089.50","1,076.48","1,089.18","1,089.18","1,579,900,000"
17-Dec-03,"1,075.13","1,076.54","1,071.14","1,076.48","1,076.48","1,441,700,000"
16-Dec-03,"1,068.04","1,075.94","1,068.04","1,075.13","1,075.13","1,547,900,000"
15-Dec-03,"1,074.14","1,082.79","1,068.00","1,068.04","1,068.04","1,520,800,000"
12-Dec-03,"1,071.21","1,074.76","1,067.64","1,074.14","1,074.14","1,223,100,000"
11-Dec-03,"1,059.05","1,073.63","1,059.05","1,071.21","1,071.21","1,441,100,000"
10-Dec-03,"1,060.18","1,063.02","1,053.41","1,059.05","1,059.05","1,444,000,000"
9-Dec-03,"1,069.30","1,071.94","1,059.16","1,060.18","1,060.18","1,465,500,000"
8-Dec-03,"1,061.50","1,069.59","1,060.93","1,069.30","1,069.30","1,218,900,000"
5-Dec-03,"1,069.72","1,069.72","1,060.09","1,061.50","1,061.50","1,265,900,000"
4-Dec-03,"1,064.73","1,070.37","1,063.15","1,069.72","1,069.72","1,463,100,000"
3-Dec-03,"1,066.62","1,074.30","1,064.63","1,064.73","1,064.73","1,441,700,000"
2-Dec-03,"1,070.12","1,071.22","1,065.22","1,066.62","1,066.62","1,383,200,000"
1-Dec-03,"1,058.20","1,070.47","1,058.20","1,070.12","1,070.12","1,375,000,000"
28-Nov-03,"1,058.45","1,060.63","1,056.77","1,058.20","1,058.20","487,220,000"
26-Nov-03,"1,053.89","1,058.45","1,048.28","1,058.45","1,058.45","1,097,700,000"
25-Nov-03,"1,052.08","1,058.05","1,049.31","1,053.89","1,053.89","1,333,700,000"
24-Nov-03,"1,035.28","1,052.08","1,035.28","1,052.08","1,052.08","1,302,800,000"
21-Nov-03,"1,033.65","1,037.57","1,031.20","1,035.28","1,035.28","1,273,800,000"
20-Nov-03,"1,042.44","1,046.48","1,033.42","1,033.65","1,033.65","1,326,700,000"
19-Nov-03,"1,034.15","1,043.95","1,034.15","1,042.44","1,042.44","1,326,200,000"
18-Nov-03,"1,043.63","1,048.77","1,034.00","1,034.15","1,034.15","1,354,300,000"
17-Nov-03,"1,050.35","1,050.35","1,035.28","1,043.63","1,043.63","1,374,300,000"
14-Nov-03,"1,058.41","1,063.65","1,048.11","1,050.35","1,050.35","1,356,100,000"
13-Nov-03,"1,058.56","1,059.62","1,052.96","1,058.41","1,058.41","1,383,000,000"
12-Nov-03,"1,046.57","1,059.10","1,046.57","1,058.53","1,058.53","1,349,300,000"
11-Nov-03,"1,047.11","1,048.23","1,043.46","1,046.57","1,046.57","1,162,500,000"
10-Nov-03,"1,053.21","1,053.65","1,045.58","1,047.11","1,047.11","1,243,600,000"
7-Nov-03,"1,058.05","1,062.39","1,052.17","1,053.21","1,053.21","1,440,500,000"
6-Nov-03,"1,051.81","1,058.94","1,046.93","1,058.05","1,058.05","1,453,900,000"
